Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
15500000.0,26300000.0,A Walk Among the Tombstones,Scott Frank,2,30900000.0,5cbf57e7f1b3f84eb09ba50f
53600000.0,143200000.0,Marley and Me,David Frankel,7,375000000.0,5cbf57e7f1b3f84eb09ba510
24300000.0,41500000.0,High Crimes,Carl Franklin,6,145800000.0,5cbf57e7f1b3f84eb09ba511
12100000.0,56400000.0,The Queen,Stephen Frears,23,278300000.0,5cbf57e7f1b3f84eb09ba512
9700000.0,28600000.0,28 Weeks Later,Juan Carlos Fresnadillo,3,29000000.0,5cbf57e7f1b3f84eb09ba513
68500000.0,73000000.0,Hotel for Dogs,Thor Freudenthal,3,205600000.0,5cbf57e7f1b3f84eb09ba514
32200000.000000004,39700000.0,Epic Movie,Jason Friedberg,4,128800000.00000001,5cbf57e7f1b3f84eb09ba515
31000000.0,232900000.0,The Exorcist,William Friedkin,16,495400000.0,5cbf57e7f1b3f84eb09ba516
4600000.0,11200000.0,Jane Eyre,Cary Fukunaga,3,13900000.0,5cbf57e7f1b3f84eb09ba517
56100000.0,102100000.0,The Equalizer 2,Antoine Fuqua,13,729500000.0,5cbf57e7f1b3f84eb09ba518
30900000.0,58000000.0,The Lincoln Lawyer,Brad Furman,3,92800000.0,5cbf57e7f1b3f84eb09ba519
22900000.0,50800000.0,Syriana,Stephen Gaghan,3,68800000.0,5cbf57e7f1b3f84eb09ba51a
5900000.0,29800000.0,Double Take,George Gallo,7,41100000.0,5cbf57e7f1b3f84eb09ba51b
1400000.0,2400000.0,Buffalo '66,Vincent Gallo,2,2700000.0,5cbf57e7f1b3f84eb09ba51c
29100000.0,47000000.0,Silent Hill,Christophe Gans,2,58200000.0,5cbf57e7f1b3f84eb09ba51d
64500000.0,64500000.0,The Wedding Ringer,Jeremy Garelick,1,64500000.0,5cbf57e7f1b3f84eb09ba51e
29100000.0,32700000.000000004,Annihilation,Alex Garland,2,58200000.0,5cbf57e7f1b3f84eb09ba51f
7600000.0,15200000.0,The Last Exorcism Part II,Ed Gass-Donnelly,2,15200000.0,5cbf57e7f1b3f84eb09ba520
14200000.0,25800000.0,The Lazarus Effect,David Gelb,2,28400000.0,5cbf57e7f1b3f84eb09ba521
18500000.0,18500000.0,The Invention of Lying,Ricky Gervais,1,18500000.0,5cbf57e7f1b3f84eb09ba522
3300000.0,6000000.0,Hitchcock,Sacha Gervasi,2,6700000.0,5cbf57e7f1b3f84eb09ba523
24500000.0,49000000.0,Lady Bird,Greta Gerwig,2,49000000.0,5cbf57e7f1b3f84eb09ba524
117800000.0,370800000.0,Passion of the Christ,Mel Gibson,5,589200000.0,5cbf57e7f1b3f84eb09ba525
4100.0,4100.0,The Party's Just Beginning,Karen Gillan,1,4100.0,5cbf57e7f1b3f84eb09ba526
24000000.0,36500000.0,Million Dollar Arm,Craig Gillespie,6,144100000.0,5cbf57e7f1b3f84eb09ba527
19700000.0,57100000.0,12 Monkeys,Terry Gilliam,11,216400000.0,5cbf57e7f1b3f84eb09ba528
22200000.0,32400000.0,Nightcrawler,Dan Gilroy,2,44300000.0,5cbf57e7f1b3f84eb09ba529
67600000.0,113200000.0,The Bourne Legacy,Tony Gilroy,3,202800000.0,5cbf57e7f1b3f84eb09ba52a
5300000.0,18800000.0,Still Alice,Richard Glatzer,4,21300000.0,5cbf57e7f1b3f84eb09ba52b
66500000.0,115300000.0,Peter Rabbit,Will Gluck,5,332600000.0,5cbf57e7f1b3f84eb09ba52c
30000000.0,42100000.0,The Cabin in the Woods,Drew Goddard,2,59900000.0,5cbf57e7f1b3f84eb09ba52d
53800000.0,101500000.0,This is the End,Evan Goldberg,2,107600000.0,5cbf57e7f1b3f84eb09ba52e
19000000.0,19000000.0,Bed of Roses,Michael Goldenberg,1,19000000.0,5cbf57e7f1b3f84eb09ba52f
12600000.0,12600000.0,Winter's Tale,Akiva Goldsman,1,12600000.0,5cbf57e7f1b3f84eb09ba530
64000000.0,69200000.0,Game Night,Jonathan M. Goldstein,2,128100000.0,5cbf57e7f1b3f84eb09ba531
119000.0,222000.0,World's Greatest Dad,Bobcat Goldthwait,4,475000.0,5cbf57e7f1b3f84eb09ba532
13500000.0,98800000.0,The Green Hornet,Michel Gondry,12,162400000.0,5cbf57e7f1b3f84eb09ba533
